1, 346, 5737.912987071196
2, 166, 5737.910688622451
3, 121, 5737.877696540914
4, 100, 5737.929326160962
5, 76, 5737.9402822941765
6, 71, 5737.941363527797
7, 64, 5737.954656264131
8, 55, 5737.960163608098
9, 56, 5737.9615300908445
10, 52, 5737.96695842087
11, 47, 5737.9693859917625
12, 44, 5737.97131608405
13, 44, 5737.97488456893
14, 47, 5737.976104479309
15, 46, 5737.977232056183
16, 44, 5737.978550404339
17, 40, 5737.980039991894
18, 40, 5737.980551005705
19, 36, 5737.981455788904
20, 35, 5737.983034142014
